date,title,link,info
2023-08-09,GEN AI SUMMIT,https://www.google.com/calendar/render?action=TEMPLATE&text=GEN+AI+SUMMIT&dates=20230809/20230809,Additional info for GEN AI SUMMIT
2023-08-12,THE OTHER KOHINOORS,https://www.google.com/calendar/render?action=TEMPLATE&text=THE+OTHER+KOHINOORS&dates=20230812/20230812,Additional info for THE OTHER KOHINOORS
2023-08-13,JOYODHONI,https://www.google.com/calendar/render?action=TEMPLATE&text=JOYODHONI&dates=20230813/20230813,Additional info for JOYODHONI
2023-08-14,JEE JAISII AAPKI MARZI,https://www.google.com/calendar/render?action=TEMPLATE&text=JEE+JAISII+AAPKI+MARZI&dates=20230814/20230814,Additional info for JEE JAISII AAPKI MARZI
2023-08-17,DISTINGUISHED LECTURE,https://www.google.com/calendar/render?action=TEMPLATE&text=DISTINGUISHED+LECTURE&dates=20230817/20230817,Additional info for DISTINGUISHED LECTURE
2023-08-19,FALLING WALLS,https://www.google.com/calendar/render?action=TEMPLATE&text=FALLING+WALLS&dates=20230819/20230819,Additional info for FALLING WALLS
2023-08-21,YC@CIE15,https://www.google.com/calendar/render?action=TEMPLATE&text=YC@CIE15&dates=20230821/20230821,Additional info for YC@CIE15
2023-08-23,FIRESIDE CHAT with Sri N Chandrababu Naidu,https://www.google.com/calendar/render?action=TEMPLATE&text=FIRESIDE+CHAT+with+Sri+N+Chandrababu+Naidu&dates=20230823/20230823,Additional info for FIRESIDE CHAT with Sri N Chandrababu Naidu
2023-08-31,MICROSOFT DAY@IITH Celebrating 25 years of research partnership,https://www.google.com/calendar/render?action=TEMPLATE&text=MICROSOFT+DAY@IITH+Celebrating+25+years+of+research+partnership&dates=20230831/20230831,Additional info for MICROSOFT DAY@IITH Celebrating 25 years of research partnership
2023-09-01,CELEBRATING PROF RAJ REDDY,https://www.google.com/calendar/render?action=TEMPLATE&text=CELEBRATING+PROF+RAJ+REDDY&dates=20230901/20230901,Additional info for CELEBRATING PROF RAJ REDDY
2023-09-02,lITH FOUNDATION DAY CELEBRATIONS,https://www.google.com/calendar/render?action=TEMPLATE&text=lITH+FOUNDATION+DAY+CELEBRATIONS&dates=20230902/20230902,Additional info for lITH FOUNDATION DAY CELEBRATIONS
2023-09-03,ALUMNI DAY,https://www.google.com/calendar/render?action=TEMPLATE&text=ALUMNI+DAY&dates=20230903/20230903,Additional info for ALUMNI DAY
2023-09-22,QUALCOMM DAY,https://www.google.com/calendar/render?action=TEMPLATE&text=QUALCOMM+DAY&dates=20230922/20230922,Additional info for QUALCOMM DAY
2023-09-30,CINEMA WORKSHOP,https://www.google.com/calendar/render?action=TEMPLATE&text=CINEMA+WORKSHOP&dates=20230930/20230930,Additional info for CINEMA WORKSHOP
